target	source	type
l1	l1	s1
l1	l2	s1
l1	l3	s1
l2	l2	s1
l2	l3	s1
l3	l3	s1
l3	l3	s2
l3	l3	s3
l3	l4	s3
l4	l4	s3
l3	l3	s4
l3	l6	s4
l6	l6	s4
l3	l3	s5
l3	l3	s6
l3	l3	s7
l7	l7	s8
l7	l10	s8
l7	l3	s8
l10	l10	s8
l10	l3	s8
l3	l3	s8
l3	l3	s9
l3	l3	s10
l3	l3	s11
l11	l11	s12
l11	l3	s12
l11	l13	s12
l11	l14	s12
l11	l10	s12
l11	l7	s12
l11	l15	s12
l11	l18	s12
l11	l19	s12
l11	l20	s12
l11	l21	s12
l11	l23	s12
l3	l3	s12
l3	l13	s12
l3	l14	s12
l3	l10	s12
l3	l7	s12
l3	l15	s12
l3	l18	s12
l3	l19	s12
l3	l20	s12
l3	l21	s12
l3	l23	s12
l13	l13	s12
l13	l14	s12
l13	l10	s12
l13	l7	s12
l13	l15	s12
l13	l18	s12
l13	l19	s12
l13	l20	s12
l13	l21	s12
l13	l23	s12
l14	l14	s12
l14	l10	s12
l14	l7	s12
l14	l15	s12
l14	l18	s12
l14	l19	s12
l14	l20	s12
l14	l21	s12
l14	l23	s12
l10	l10	s12
l10	l7	s12
l10	l15	s12
l10	l18	s12
l10	l19	s12
l10	l20	s12
l10	l21	s12
l10	l23	s12
l7	l7	s12
l7	l15	s12
l7	l18	s12
l7	l19	s12
l7	l20	s12
l7	l21	s12
l7	l23	s12
l15	l15	s12
l15	l18	s12
l15	l19	s12
l15	l20	s12
l15	l21	s12
l15	l23	s12
l18	l18	s12
l18	l19	s12
l18	l20	s12
l18	l21	s12
l18	l23	s12
l19	l19	s12
l19	l20	s12
l19	l21	s12
l19	l23	s12
l20	l20	s12
l20	l21	s12
l20	l23	s12
l21	l21	s12
l21	l23	s12
l23	l23	s12
l3	l3	s13
l3	l3	s14
l3	l25	s14
l25	l25	s14
l27	l27	s15
l27	l29	s15
l27	l3	s15
l27	l30	s15
l29	l29	s15
l29	l3	s15
l29	l30	s15
l3	l3	s15
l3	l30	s15
l30	l30	s15
l3	l3	s16
l3	l3	s17
l3	l31	s17
l31	l31	s17
l3	l3	s18
l3	l32	s18
l3	l36	s18
l3	l37	s18
l3	l39	s18
l3	l40	s18
l32	l32	s18
l32	l36	s18
l32	l37	s18
l32	l39	s18
l32	l40	s18
l36	l36	s18
l36	l37	s18
l36	l39	s18
l36	l40	s18
l37	l37	s18
l37	l39	s18
l37	l40	s18
l39	l39	s18
l39	l40	s18
l40	l40	s18
l3	l3	s19
l42	l42	s20
l42	l3	s20
l42	l43	s20
l42	l44	s20
l3	l3	s20
l3	l43	s20
l3	l44	s20
l43	l43	s20
l43	l44	s20
l44	l44	s20
l3	l3	s21
l3	l45	s21
l3	l46	s21
l45	l45	s21
l45	l46	s21
l46	l46	s21
l47	l47	s22
l47	l48	s22
l47	l3	s22
l48	l48	s22
l48	l3	s22
l3	l3	s22
l3	l3	s23
l3	l49	s23
l3	l49	s23
l49	l49	s23
l49	l49	s23
l49	l49	s23
l3	l3	s24
l3	l3	s25
l3	l3	s26
l3	l3	s27
l3	l50	s27
l50	l50	s27
l51	l51	s28
l51	l53	s28
l51	l3	s28
l53	l53	s28
l53	l3	s28
l3	l3	s28
l55	l55	s29
l55	l3	s29
l3	l3	s29
l3	l3	s30
l3	l56	s30
l56	l56	s30
l57	l57	s31
l57	l57	s31
l57	l3	s31
l57	l57	s31
l57	l3	s31
l3	l3	s31
l58	l58	s32
l58	l59	s32
l58	l60	s32
l58	l3	s32
l59	l59	s32
l59	l60	s32
l59	l3	s32
l60	l60	s32
l60	l3	s32
l3	l3	s32
l3	l3	s33
l61	l61	s34
l61	l62	s34
l61	l3	s34
l62	l62	s34
l62	l3	s34
l3	l3	s34
l3	l3	s35
l3	l3	s36
l3	l3	s37
l3	l63	s37
l3	l63	s37
l3	l48	s37
l63	l63	s37
l63	l63	s37
l63	l48	s37
l63	l63	s37
l63	l48	s37
l48	l48	s37
l64	l64	s38
l64	l65	s38
l64	l67	s38
l64	l3	s38
l65	l65	s38
l65	l67	s38
l65	l3	s38
l67	l67	s38
l67	l3	s38
l3	l3	s38
l68	l68	s39
l68	l4	s39
l68	l70	s39
l68	l72	s39
l68	l72	s39
l68	l3	s39
l68	l47	s39
l68	l75	s39
l68	l76	s39
l68	l78	s39
l68	l79	s39
l4	l4	s39
l4	l70	s39
l4	l72	s39
l4	l72	s39
l4	l3	s39
l4	l47	s39
l4	l75	s39
l4	l76	s39
l4	l78	s39
l4	l79	s39
